"Unversity_name","Unversity_Sector","Unversity_City","Unversity_Address","Unversity_Phone","Unversity_Other_details"
"UNIVERSITY OF FATA","Public","Kohat","Govt Degree College Darra Adam Khel Akhurwal F.R Kohat N-55, Pakistan.","+92-91-9218182, +92-91-9216427","Email: info@fu.edu.pk
Fax:
URL:http://www.fu.edu.pk/"
"UNIVERSITY OF GUJRAT","","","","",""
"University of Haripur","Public","Haripur","Hattar Road, Near Swat Chowk, Tehsil & District Haripur.","+92-995-615393","Email: registrar@uoh.edu.pk
Fax:
URL:http://www.uoh.edu.pk/"
"UNIVERSITY OF HEALTH SCIENCES","","","","",""
"UNIVERSITY OF KARACHI","Public","Karachi","University of Karachi Main University Road Karachi - 75270 Sindh, Pakistan","92.21.99261300-07","Email: info@uok.edu.pk
Fax:92.21.99261330
URL:http://www.uok.edu.pk"
"University of Kotli Azad Jammu and Kashmir","","","","",""
"UNIVERSITY OF LAHORE","Private","Lahore","UNIVERSITY OF LAHORE,1-K.M, Raiwind Road, Lahore.","+92 42 111-865-865","Email: info@uol.edu.pk
Fax:
URL:http://www.uol.edu.pk"
"University of Loralai","","","","",""
"University of Malakand","Public","Mardan","Chakdara, Dir, Lower, Malakand Khyber Pakhtunkhwa","0945-763023 Ext 3011","Email: missinginfo@uom.edu.pk
Fax:0945-761624
URL:http://www.uom.edu.pk"
"UNIVERSITY OF MANAGEMENT & TECHNOLOGY","","","","",""
"UNIVERSITY OF PESHAWAR","Public","Peshawar","Old Jamrud Road, Peshawar.","+92-91-9216701","Email: registrar@uop.edu.pk
Fax:+92-91-9216736
URL:http://www.uop.edu.pk/"
"University of Poonch","","","","",""
"UNIVERSITY OF SARGODHA","Public","Sargodha","University of Sargodha, University Road Sargodha 40100 Punjab,Pakistan","+92-48-9230811-15","Email: info@uos.edu.pk
Fax:
URL:http://www.uos.edu.pk"
"UNIVERSITY OF SCIENCE & TECHNOLOGY","","","","",""
"University of Science & Technology","Public","Bunnu","Main Campus Township, Bannu.","+92-928-633823","Email: registrar@ustb.edu.pk
Fax:
URL:https://www.ustb.edu.pk/"
"UNIVERSITY OF SINDH","","","","",""
"UNIVERSITY OF SOUTH ASIA","Private","Lahore","47-Tufail Road, Lahore Cantt.","+92-42-36672943, +92-42-366 50","Email: help@usa.edu.pk
Fax:
URL:+92-42-36672943, +92-42-366 50983"
"University of Sufism and Modern Sciences, Bhitshah Sindh","","","","",""
"UNIVERSITY OF SWABI","Public","Swabi","University of Swabi, Khyber Pakhtunkhwa","+92-938-490238","Email: adminofficer@uoswabi.edu.pk
Fax:0938490238
URL:http://www.uoswabi.edu.pk"
"UNIVERSITY OF SWAT","","","","",""
"UNIVERSITY OF TECHNOLOGY (SHUHADA-E-ARMY PUBLIC SCHOOL)","Public","Nowshera","Ex-Adamjee Paper and Board Mills, Amangarh, Nowshera. 24100","0923-560301","Email: samibangash@uotnowshera.edu.pk
Fax:
URL:http://uotnowshera.edu.pk/"
"UNIVERSITY OF THE PUNJAB","","","","",""
"UNIVERSITY OF TURBAT","Public","Jazan","Overseas Colony, Airport Road, Turbat Balochistan.","+92-85-414498","Email: registrar@uot.edu.pk
Fax:http://www.uot.edu.p
URL:http://www.uot.edu.pk"
"UNIVERSITY OF VETERINARY & ANIMAL SCIENCES","","","","",""
"UNIVERSITY OF WAH","Private","Wah Cantt","Quaid Avenue, The Mall. Wah Cantt.","051-9157000, 051-451425256-7","Email: info@uow.edu.pk
Fax:051-9314311
URL:http://www.uow.edu.pk/"
"VIRTUAL UNIVERSITY OF PAKISTAN","","","","",""
"WOMEN UNIVERSITY MARDAN","Public","Mardan","http://www.wumardan.edu.pk","(0937) 871 416","Email: pstovc@wumardan.edu.pk
Fax:
URL:http://www.wumardan.edu.pk"
"Women University of Azad Jammu & Kashmir","","","","",""
"WOMEN UNIVERSITY, SWABI","Public","Swabi","WOMEN UNIVERSITY, SWABI","+92 0938-224222","Email: info@wus.edu.pk
Fax:
URL:http://www.wus.edu.pk/"
"ZIA-UD-DIN UNIVERSITY","","","","",""
